Date,Employed-Total,Unemployed-Total,Unemployment rate-Total,"Employed-Management, professional, and related occupations","Unemployed-Management, professional, and related occupations","Unemployment rate-Management, professional, and related occupations","Employed-Management, business, and financial operations occupations","Unemployed-Management, business, and financial operations occupations","Unemployment rate-Management, business, and financial operations occupations",Employed-Professional and related occupations,Unemployed-Professional and related occupations,Unemployment rate-Professional and related occupations,Employed-Service occupations,Unemployed-Service occupations,Unemployment rate-Service occupations,Employed-Sales and office occupations,Unemployed-Sales and office occupations,Unemployment rate-Sales and office occupations,Employed-Sales and related occupations,Unemployed-Sales and related occupations,Unemployment rate-Sales and related occupations,Employed-Office and administrative support occupations,Unemployed-Office and administrative support occupations,Unemployment rate-Office and administrative support occupations,"Employed-Natural resources, construction, and maintenance occupations","Unemployed-Natural resources, construction, and maintenance occupations","Unemployment rate-Natural resources, construction, and maintenance occupations","Employed-Farming, fishing, and forestry occupations","Unemployed-Farming, fishing, and forestry occupations","Unemployment rate-Farming, fishing, and forestry occupations",Employed-Construction and extraction occupations,Unemployed-Construction and extraction occupations,Unemployment rate-Construction and extraction occupations,"Employed-Installation, maintenance, and repair occupations","Unemployed-Installation, maintenance, and repair occupations","Unemployment rate-Installation, maintenance, and repair occupations","Employed-Production, transportation, and material moving occupations","Unemployed-Production, transportation, and material moving occupations","Unemployment rate-Production, transportation, and material moving occupations",Employed-Production occupations,Unemployed-Production occupations,Unemployment rate-Production occupations,Employed-Transportation and material moving occupations,Unemployed-Transportation and material moving occupations,Unemployment rate-Transportation and material moving occupations
Jul-2008,146867,9433,6,52655,1585,2.9,22596,593,2.6,30059,992,3.2,25613,1880,6.8,35096,2143,5.8,15995,1055,6.2,19102,1088,5.4,15399,1240,7.5,1085,93,7.9,9086,864,8.7,5227,283,5.1,18104,1407,7.2,9015,686,7.1,9089,722,7.4
Aug-2008,145909,9479,6.1,52626,1779,3.3,22314,645,2.8,30312,1135,3.6,25185,1898,7,35156,2218,5.9,16114,1089,6.3,19042,1129,5.6,15141,1186,7.3,1082,93,7.9,8927,856,8.7,5132,237,4.4,17801,1466,7.6,8917,771,8,8883,695,7.3
Sep-2008,145310,9199,6,53104,1539,2.8,22364,648,2.8,30741,890,2.8,24544,1810,6.9,35287,2074,5.6,16232,984,5.7,19055,1091,5.4,14941,1288,7.9,1063,92,8,8744,946,9.8,5134,250,4.6,17434,1666,8.7,8830,830,8.6,8605,836,8.9
Oct-2008,145543,9469,6.1,53485,1647,3,22422,695,3,31063,952,3,24697,1812,6.8,35369,2205,5.9,16380,1056,6.1,18990,1149,5.7,14861,1421,8.7,976,102,9.5,8644,1037,10.7,5240,282,5.1,17131,1566,8.4,8661,844,8.9,8470,722,7.9
Nov-2008,144609,10015,6.5,53274,1786,3.2,22189,824,3.6,31085,962,3,24595,1898,7.2,35205,2304,6.1,16330,1142,6.5,18875,1162,5.8,14480,1587,9.9,919,107,10.4,8376,1158,12.1,5184,322,5.9,17055,1726,9.2,8662,895,9.4,8393,831,9
Dec-2008,143350,10999,7.1,52548,1802,3.3,21928,888,3.9,30619,915,2.9,24371,2057,7.8,34987,2448,6.5,16354,1233,7,18633,1215,6.1,14202,2063,12.7,901,201,18.3,8025,1522,15.9,5276,339,6,17242,1928,10.1,8421,992,10.5,8821,936,9.6
Annual 2008,145362,8924,5.8,52761,1463,2.7,22059,619,2.7,30702,844,2.7,24451,1769,6.7,35544,2006,5.3,16295,980,5.7,19249,1026,5.1,14806,1421,8.8,988,112,10.2,8667,1067,11,5152,243,4.5,17800,1474,7.6,8973,746,7.7,8827,727,7.6
Jan-2009,140436,13009,8.5,52358,2238,4.1,21956,1056,4.6,30402,1182,3.7,23850,2389,9.1,34192,2761,7.5,15773,1323,7.7,18419,1438,7.2,13587,2497,15.5,825,251,23.3,7673,1824,19.2,5089,422,7.7,16449,2432,12.9,7974,1265,13.7,8474,1167,12.1
Feb-2009,140105,13699,8.9,52196,2137,3.9,21668,1018,4.5,30528,1119,3.5,24110,2415,9.1,34161,2983,8,15676,1438,8.4,18485,1545,7.7,13191,2845,17.7,821,238,22.5,7328,2163,22.8,5041,445,8.1,16448,2469,13.1,7868,1246,13.7,8580,1223,12.5
Mar-2009,139833,13895,9,52345,2292,4.2,21813,1038,4.5,30533,1254,3.9,24074,2495,9.4,33967,3020,8.2,15531,1511,8.9,18436,1509,7.6,13223,2727,17.1,803,216,21.2,7196,2067,22.3,5224,445,7.8,16223,2585,13.7,7647,1343,14.9,8575,1242,12.7
Apr-2009,140586,13248,8.6,52597,2164,4,21455,995,4.4,31142,1170,3.6,24548,2354,8.7,34053,2966,8,15555,1463,8.6,18498,1503,7.5,13453,2438,15.3,924,166,15.2,7423,1816,19.7,5107,456,8.2,15934,2501,13.6,7563,1306,14.7,8371,1196,12.5
May-2009,140363,13973,9.1,52256,2373,4.3,21368,1032,4.6,30888,1341,4.2,24884,2578,9.4,33854,3115,8.4,15627,1528,8.9,18227,1587,8,13445,2398,15.1,1004,111,10,7339,1796,19.7,5103,491,8.8,15923,2517,13.7,7557,1396,15.6,8366,1122,11.8
Jun-2009,140826,15095,9.7,51776,2720,5,21510,1093,4.8,30266,1627,5.1,25330,2866,10.2,34125,3228,8.6,15894,1597,9.1,18231,1632,8.2,13702,2265,14.2,1053,161,13.2,7520,1632,17.8,5129,472,8.4,15892,2566,13.9,7634,1487,16.3,8258,1078,11.6
Jul-2009,141055,15201,9.7,51810,3034,5.5,21893,1126,4.9,29917,1909,6,25831,2756,9.6,34066,3221,8.6,16016,1450,8.3,18050,1771,8.9,13500,2334,14.7,1048,155,12.9,7492,1686,18.4,4961,493,9,15847,2434,13.3,7685,1397,15.4,8163,1037,11.3
Aug-2009,140074,14823,9.6,51724,2925,5.4,21849,1141,5,29875,1785,5.6,25115,2797,10,34132,3252,8.7,15902,1511,8.7,18230,1741,8.7,13561,2176,13.8,984,182,15.6,7613,1555,17,4964,439,8.1,15542,2421,13.5,7691,1366,15.1,7852,1055,11.8
Sep-2009,139079,14538,9.5,52186,2859,5.2,21772,1188,5.2,30414,1671,5.2,24533,2556,9.4,33274,3367,9.2,15519,1521,8.9,17755,1846,9.4,13264,2210,14.3,916,156,14.6,7468,1605,17.7,4880,449,8.4,15822,2388,13.1,7677,1264,14.1,8145,1125,12.1
Oct-2009,139088,14547,9.5,52981,2593,4.7,21398,1219,5.4,31583,1374,4.2,24323,2705,10,33043,3415,9.4,15294,1608,9.5,17748,1806,9.2,13133,2400,15.5,936,144,13.3,7604,1797,19.1,4593,459,9.1,15610,2337,13,7486,1269,14.5,8124,1068,11.6
Nov-2009,139132,14407,9.4,52263,2530,4.6,20721,1194,5.4,31543,1336,4.1,24364,2604,9.7,33281,3202,8.8,15428,1538,9.1,17853,1664,8.5,13194,2472,15.8,934,128,12.1,7509,1897,20.2,4751,447,8.6,16030,2359,12.8,7644,1248,14,8385,1111,11.7
Dec-2009,137953,14740,9.7,52131,2509,4.6,20944,1157,5.2,31188,1352,4.2,24216,2747,10.2,33296,3184,8.7,15478,1520,8.9,17819,1664,8.5,12617,2802,18.2,869,242,21.8,7106,2067,22.5,4642,494,9.6,15692,2425,13.4,7420,1281,14.7,8272,1144,12.2
Annual 2009,139877,14265,9.3,52219,2531,4.6,21529,1105,4.9,30690,1427,4.4,24598,2605,9.6,33787,3143,8.5,15641,1501,8.8,18146,1642,8.3,13323,2464,15.6,926,179,16.2,7439,1825,19.7,4957,459,8.5,15951,2453,13.3,7654,1322,14.7,8297,1131,12
Jan-2010,136809,16147,10.6,52159,2762,5,21101,1168,5.2,31058,1593,4.9,23763,3045,11.4,33117,3476,9.5,15150,1709,10.1,17966,1767,9,12405,3082,19.9,782,273,25.9,6975,2276,24.6,4648,532,10.3,15365,2748,15.2,7396,1343,15.4,7970,1405,15
Feb-2010,137203,15991,10.4,52324,2637,4.8,21573,1165,5.1,30752,1471,4.6,24133,2878,10.7,33118,3465,9.5,15081,1704,10.2,18037,1761,8.9,12407,3259,20.8,856,252,22.7,6819,2457,26.5,4732,549,10.4,15220,2720,15.2,7404,1343,15.4,7816,1377,15
Mar-2010,137983,15678,10.2,52163,2600,4.7,21267,1212,5.4,30896,1387,4.3,24229,2770,10.3,33527,3352,9.1,15366,1655,9.7,18161,1697,8.5,12758,3028,19.2,852,238,21.8,6968,2275,24.6,4938,515,9.4,15305,2888,15.9,7544,1449,16.1,7761,1440,15.6
Apr-2010,139302,14609,9.5,52355,2464,4.5,21215,1139,5.1,31140,1325,4.1,24474,2733,10,33577,3173,8.6,15416,1554,9.2,18160,1619,8.2,13013,2673,17,960,193,16.7,7083,1931,21.4,4971,549,10,15884,2478,13.5,7836,1252,13.8,8048,1226,13.2
May-2010,139497,14369,9.3,51839,2450,4.5,20856,1074,4.9,30982,1376,4.3,24883,2719,9.9,33433,3209,8.8,15219,1614,9.6,18214,1595,8.1,13362,2429,15.4,1029,157,13.3,7305,1729,19.1,5028,543,9.7,15980,2359,12.9,7938,1193,13.1,8043,1165,12.7
Jun-2010,139882,14885,9.6,51414,2644,4.9,20940,1055,4.8,30475,1589,5,25024,2653,9.6,33754,3325,9,15623,1620,9.4,18131,1704,8.6,13508,2391,15,1091,180,14.2,7556,1676,18.2,4861,534,9.9,16182,2201,12,8138,1122,12.1,8044,1079,11.8
Jul-2010,140134,15137,9.7,50974,2687,5,21015,1045,4.7,29959,1642,5.2,25314,2903,10.3,33588,3494,9.4,15400,1723,10.1,18188,1771,8.9,13886,2117,13.2,1160,142,10.9,7775,1470,15.9,4950,506,9.3,16372,2256,12.1,8304,1161,12.3,8068,1095,11.9
Aug-2010,139919,14759,9.5,50879,2762,5.1,20741,1067,4.9,30138,1695,5.3,25228,2998,10.6,33429,3345,9.1,15367,1519,9,18062,1826,9.2,13743,2136,13.5,1092,117,9.6,7665,1498,16.3,4985,522,9.5,16640,2046,10.9,8243,1078,11.6,8397,968,10.3
Sep-2010,139715,14140,9.2,51757,2381,4.4,21038,956,4.3,30719,1425,4.4,24660,2867,10.4,33331,3386,9.2,15319,1584,9.4,18012,1803,9.1,13273,2195,14.2,1051,142,11.9,7186,1536,17.6,5036,517,9.3,16693,2085,11.1,8187,1123,12.1,8506,962,10.2
Oct-2010,139749,13903,9,51818,2417,4.5,20699,1089,5,31119,1328,4.1,24540,2758,10.1,33394,3300,9,15439,1548,9.1,17955,1752,8.9,13091,2060,13.6,1085,155,12.5,7026,1456,17.2,4980,449,8.3,16906,2091,11,8255,1134,12.1,8651,958,10
Nov-2010,139415,14282,9.3,51532,2525,4.7,20420,1191,5.5,31111,1334,4.1,24641,2810,10.2,33525,3232,8.8,15732,1515,8.8,17793,1717,8.8,12768,2274,15.1,956,194,16.9,6896,1619,19,4916,461,8.6,16949,2263,11.8,8390,1169,12.2,8560,1094,11.3
Dec-2010,139159,13997,9.1,51704,2468,4.6,20393,1243,5.7,31310,1225,3.8,24717,2696,9.8,33407,3023,8.3,15521,1407,8.3,17885,1616,8.3,12666,2407,16,925,268,22.5,6849,1785,20.7,4892,354,6.7,16666,2245,11.9,8339,1109,11.7,8327,1137,12
Annual 2010,139064,14825,9.6,51743,2566,4.7,20938,1117,5.1,30805,1449,4.5,24634,2819,10.3,33433,3315,9,15386,1596,9.4,18047,1719,8.7,13073,2504,16.1,987,193,16.3,7175,1809,20.1,4911,503,9.3,16180,2365,12.8,7998,1206,13.1,8182,1159,12.4
Jan-2011,137599,14937,9.8,51866,2557,4.7,21139,1177,5.3,30727,1380,4.3,23819,2773,10.4,33497,3364,9.1,15268,1574,9.3,18229,1790,8.9,12205,2623,17.7,893,233,20.7,6587,1960,22.9,4725,430,8.3,16211,2411,12.9,8032,1122,12.3,8180,1289,13.6
Feb-2011,138093,14542,9.5,52557,2435,4.4,21256,1089,4.9,31301,1346,4.1,23758,2846,10.7,33220,3180,8.7,15367,1523,9,17853,1657,8.5,12676,2568,16.8,911,255,21.9,6868,1938,22,4897,374,7.1,15882,2356,12.9,7908,1105,12.3,7973,1251,13.6
Mar-2011,138962,14060,9.2,53243,2381,4.3,21598,1082,4.8,31646,1299,3.9,24223,2744,10.2,33000,3082,8.5,14983,1441,8.8,18018,1642,8.4,12575,2464,16.4,876,225,20.4,6898,1754,20.3,4801,486,9.2,15921,2218,12.2,7997,1059,11.7,7924,1159,12.8
Apr-2011,139661,13237,8.7,53216,2196,4,21640,1050,4.6,31576,1146,3.5,24354,2598,9.6,32974,2929,8.2,15134,1402,8.5,17841,1528,7.9,12735,2110,14.2,862,206,19.3,7042,1448,17.1,4831,455,8.6,16382,2208,11.9,8098,1074,11.7,8284,1134,12
May-2011,140028,13421,8.7,52778,2419,4.4,21355,1094,4.9,31423,1325,4,24959,2607,9.5,32804,3172,8.8,15376,1596,9.4,17428,1576,8.3,12942,1900,12.8,1033,117,10.2,7071,1375,16.3,4838,408,7.8,16546,2100,11.3,8113,1094,11.9,8433,1006,10.7
Jun-2011,140129,14409,9.3,52120,2598,4.7,21605,1037,4.6,30515,1561,4.9,25432,2710,9.6,32874,3340,9.2,15322,1639,9.7,17552,1701,8.8,13068,1872,12.5,1092,139,11.3,7194,1312,15.4,4782,422,8.1,16635,2136,11.4,8023,1096,12,8612,1040,10.8
Jul-2011,140384,14428,9.3,51662,2742,5,21747,1053,4.6,29915,1689,5.3,25584,2764,9.8,33131,3288,9,15503,1603,9.4,17628,1685,8.7,13417,1744,11.5,1166,157,11.9,7317,1161,13.7,4934,426,7.9,16590,2103,11.2,8055,1049,11.5,8534,1054,11
Aug-2011,140335,14008,9.1,51997,2671,4.9,21632,1037,4.6,30365,1634,5.1,25396,2924,10.3,33023,3182,8.8,15193,1424,8.6,17831,1757,9,13454,1718,11.3,1190,145,10.9,7420,1126,13.2,4844,447,8.4,16464,2077,11.2,8130,984,10.8,8334,1093,11.6
Sep-2011,140502,13520,8.8,52665,2450,4.4,21587,1035,4.6,31078,1415,4.4,25347,2828,10,32735,3246,9,15064,1554,9.4,17672,1692,8.7,13387,1675,11.1,1038,131,11.2,7316,1137,13.4,5033,407,7.5,16368,1951,10.7,8128,944,10.4,8239,1008,10.9
Oct-2011,140987,13102,8.5,52864,2410,4.4,21700,1068,4.7,31164,1342,4.1,25108,2772,9.9,32932,3023,8.4,15323,1368,8.2,17609,1655,8.6,13121,1746,11.7,1028,174,14.5,7125,1184,14.2,4969,388,7.2,16963,1857,9.9,8474,897,9.6,8489,961,10.2
Nov-2011,141070,12613,8.2,52787,2336,4.2,21776,1060,4.6,31011,1277,4,24783,2610,9.5,33294,2965,8.2,15607,1323,7.8,17687,1641,8.5,13422,1662,11,1011,189,15.8,7440,1151,13.4,4970,321,6.1,16785,1823,9.8,8310,872,9.5,8475,951,10.1
Dec-2011,140681,12692,8.3,52808,2303,4.2,22039,1019,4.4,30769,1284,4,24678,2542,9.3,33310,2844,7.9,15826,1325,7.7,17484,1518,8,13104,1924,12.8,915,203,18.2,7220,1417,16.4,4970,304,5.8,16781,1942,10.4,8441,1008,10.7,8340,933,10.1
Annual 2011,139869,13747,8.9,52547,2458,4.5,21589,1067,4.7,30957,1392,4.3,24787,2727,9.9,33066,3135,8.7,15330,1481,8.8,17736,1653,8.5,13009,2000,13.3,1001,181,15.3,7125,1414,16.6,4883,406,7.7,16461,2099,11.3,8142,1025,11.2,8318,1073,11.4
Jan-2012,139944,13541,8.8,53152,2410,4.3,22255,1044,4.5,30897,1366,4.2,24334,2876,10.6,33305,2972,8.2,15585,1398,8.2,17721,1574,8.2,12561,2152,14.6,845,243,22.3,6887,1557,18.4,4828,353,6.8,16592,2016,10.8,8274,959,10.4,8318,1057,11.3
Feb-2012,140684,13430,8.7,53208,2336,4.2,22151,1015,4.4,31058,1320,4.1,24751,2810,10.2,33766,2907,7.9,15553,1331,7.9,18212,1576,8,12461,2033,14,890,221,19.9,6878,1495,17.9,4693,317,6.3,16498,2096,11.3,8272,971,10.5,8226,1125,12
Mar-2012,141412,12904,8.4,53771,2330,4.2,22267,1019,4.4,31503,1311,4,25229,2468,8.9,33250,2908,8,15241,1341,8.1,18009,1567,8,12323,1942,13.6,880,217,19.8,6784,1393,17,4659,332,6.7,16840,1960,10.4,8427,902,9.7,8414,1058,11.2
Apr-2012,141995,11910,7.7,54055,2062,3.7,22590,934,4,31465,1128,3.5,25303,2426,8.8,33290,2745,7.6,15320,1266,7.6,17970,1478,7.6,12377,1608,11.5,913,196,17.6,6734,1137,14.4,4731,276,5.5,16970,1822,9.7,8348,863,9.4,8622,959,10
May-2012,142727,12271,7.9,54156,2275,4,22691,966,4.1,31465,1309,4,25870,2482,8.8,32684,2782,7.8,15179,1308,7.9,17504,1474,7.8,12908,1609,11.1,1114,133,10.7,6971,1153,14.2,4823,323,6.3,17109,1784,9.4,8433,814,8.8,8676,970,10.1
Jun-2012,143202,13184,8.4,53846,2472,4.4,23068,921,3.8,30778,1551,4.8,26476,2634,9,32642,2887,8.1,15322,1397,8.4,17320,1490,7.9,12978,1447,10,1144,132,10.3,7020,1046,13,4815,269,5.3,17259,1883,9.8,8419,871,9.4,8840,1012,10.3
Jul-2012,143126,13400,8.6,53165,2666,4.8,22943,912,3.8,30222,1753,5.5,26565,2666,9.1,32835,2836,8,15536,1400,8.3,17299,1436,7.7,13174,1529,10.4,1216,138,10.2,7157,1056,12.9,4801,335,6.5,17388,1900,9.8,8545,903,9.6,8843,997,10.1
Aug-2012,142558,12696,8.2,53696,2556,4.5,22831,868,3.7,30866,1688,5.2,25909,2400,8.5,32781,2892,8.1,15445,1455,8.6,17336,1437,7.7,13085,1443,9.9,1071,131,10.9,7170,969,11.9,4844,343,6.6,17086,1936,10.2,8664,913,9.5,8423,1023,10.8
Sep-2012,143333,11742,7.6,54655,2245,3.9,22944,828,3.5,31711,1417,4.3,25517,2372,8.5,33271,2714,7.5,15616,1336,7.9,17655,1378,7.2,12979,1523,10.5,1089,114,9.5,7015,1071,13.2,4875,338,6.5,16912,1640,8.8,8428,769,8.4,8484,871,9.3
Oct-2012,144039,11741,7.5,55223,2170,3.8,22998,848,3.6,32225,1323,3.9,25341,2529,9.1,33139,2555,7.2,15662,1187,7,17477,1368,7.3,13206,1489,10.1,1004,122,10.9,7195,1034,12.6,5008,332,6.2,17130,1693,9,8723,830,8.7,8407,863,9.3
Nov-2012,143549,11404,7.4,54951,2077,3.6,22643,905,3.8,32308,1171,3.5,25137,2352,8.6,33370,2584,7.2,15632,1236,7.3,17738,1348,7.1,12986,1516,10.5,906,166,15.5,7178,1066,12.9,4902,284,5.5,17106,1625,8.7,8567,736,7.9,8539,889,9.4
Dec-2012,143060,11844,7.6,54635,2221,3.9,22757,963,4.1,31877,1258,3.8,25075,2465,9,33497,2515,7,15396,1161,7,18101,1354,7,12811,1722,11.8,863,194,18.3,7069,1194,14.4,4879,334,6.4,17042,1788,9.5,8357,846,9.2,8685,943,9.8
Annual 2012,142469,12506,8.1,54043,2318,4.1,22678,935,4,31365,1383,4.2,25459,2540,9.1,33152,2775,7.7,15457,1318,7.9,17695,1457,7.6,12821,1668,11.5,994,167,14.4,7005,1181,14.4,4821,320,6.2,16994,1845,9.8,8455,865,9.3,8540,980,10.3
Jan-2013,141614,13181,8.5,54214,2211,3.9,22580,950,4,31634,1261,3.8,25038,2778,10,33181,3070,8.5,15254,1423,8.5,17927,1647,8.4,12472,1916,13.3,792,180,18.5,6861,1387,16.8,4819,349,6.8,16708,2083,11.1,8251,962,10.4,8457,1121,11.7
Feb-2013,142228,12500,8.1,54563,2164,3.8,22758,916,3.9,31805,1248,3.8,25136,2740,9.8,33456,2876,7.9,14990,1348,8.2,18466,1528,7.6,12602,1750,12.2,839,160,16.1,6825,1276,15.8,4938,314,6,16472,1826,10,8095,806,9.1,8377,1020,10.9
Mar-2013,142698,11815,7.6,54721,2020,3.6,22734,836,3.5,31986,1184,3.6,25628,2480,8.8,33042,2701,7.6,14902,1246,7.7,18140,1455,7.4,12482,1666,11.8,840,151,15.3,6761,1266,15.8,4880,249,4.8,16825,1747,9.4,8238,734,8.2,8587,1013,10.5
Apr-2013,143724,11014,7.1,54767,1980,3.5,22737,836,3.5,32031,1144,3.4,25840,2294,8.2,33616,2501,6.9,15457,1151,6.9,18159,1349,6.9,12680,1483,10.5,858,104,10.8,6786,1137,14.3,5036,242,4.6,16821,1601,8.7,8009,726,8.3,8811,875,9
May-2013,144432,11302,7.3,54740,1990,3.5,22657,888,3.8,32083,1102,3.3,26220,2526,8.8,33231,2474,6.9,15320,1174,7.1,17911,1300,6.8,13193,1327,9.1,1020,64,5.9,7128,942,11.7,5045,321,6,17048,1744,9.3,8183,864,9.6,8864,880,9
Jun-2013,144841,12248,7.8,54323,2358,4.2,23019,843,3.5,31304,1515,4.6,26769,2732,9.3,33224,2444,6.9,15765,1124,6.7,17459,1321,7,13532,1327,8.9,1069,92,7.9,7480,937,11.1,4983,298,5.6,16993,1613,8.7,8087,772,8.7,8906,841,8.6
Jul-2013,145113,12083,7.7,54064,2286,4.1,22754,737,3.1,31309,1549,4.7,26768,2573,8.8,33142,2450,6.9,15840,1170,6.9,17301,1280,6.9,13973,1288,8.4,1157,78,6.3,7665,930,10.8,5151,280,5.2,17167,1735,9.2,8337,857,9.3,8830,878,9
Aug-2013,144509,11462,7.3,54515,2130,3.8,22807,794,3.4,31708,1336,4,26305,2407,8.4,33039,2532,7.1,15741,1214,7.2,17298,1318,7.1,13468,1289,8.7,1125,126,10,7449,873,10.5,4894,291,5.6,17182,1593,8.5,8389,771,8.4,8793,822,8.5
Sep-2013,144651,10885,7,55013,1978,3.5,22822,790,3.3,32192,1188,3.6,26116,2281,8,33077,2597,7.3,15521,1261,7.5,17556,1336,7.1,13221,1181,8.2,1041,119,10.3,7258,815,10.1,4922,246,4.8,17224,1636,8.7,8346,868,9.4,8878,768,8
Oct-2013,144144,10773,7,55155,1930,3.4,22842,880,3.7,32314,1050,3.1,25951,2217,7.9,32966,2535,7.1,15408,1214,7.3,17558,1321,7,12995,1257,8.8,1021,150,12.8,7037,826,10.5,4937,280,5.4,17077,1619,8.7,8421,707,7.7,8656,912,9.5
Nov-2013,144775,10271,6.6,55583,1749,3.1,23065,770,3.2,32518,980,2.9,25675,2177,7.8,33349,2436,6.8,15683,1173,7,17667,1263,6.7,13092,1224,8.6,940,127,11.9,7218,826,10.3,4935,271,5.2,17075,1576,8.5,8474,728,7.9,8602,848,9
Dec-2013,144423,9984,6.5,54880,1637,2.9,22754,729,3.1,32126,908,2.7,25704,2127,7.6,33631,2279,6.3,15450,1043,6.3,18181,1237,6.4,12988,1369,9.5,868,135,13.4,7094,973,12.1,5026,262,5,17220,1512,8.1,8471,707,7.7,8749,804,8.4
Annual 2013,143929,11460,7.4,54712,2036,3.6,22794,831,3.5,31917,1205,3.6,25929,2444,8.6,33246,2575,7.2,15444,1212,7.3,17802,1363,7.1,13058,1423,9.8,964,124,11.4,7130,1016,12.5,4964,284,5.4,16984,1690,9.1,8275,792,8.7,8709,898,9.4
Jan-2014,143526,10855,7,55096,1784,3.1,22498,796,3.4,32598,988,2.9,25286,2338,8.5,33232,2544,7.1,15483,1253,7.5,17750,1291,6.8,12921,1470,10.2,888,146,14.2,7094,1059,13,4939,265,5.1,16991,1672,9,8365,709,7.8,8627,963,10
Feb-2014,144134,10893,7,55501,1845,3.2,22664,838,3.6,32838,1007,3,25007,2249,8.3,33667,2522,7,15799,1322,7.7,17868,1200,6.3,13148,1487,10.2,905,115,11.3,7409,1114,13.1,4833,257,5,16811,1671,9,8198,692,7.8,8613,978,10.2
Mar-2014,145090,10537,6.8,56036,1890,3.3,23020,827,3.5,33016,1063,3.1,25294,2190,8,33745,2343,6.5,15901,1163,6.8,17844,1180,6.2,13005,1438,10,910,210,18.7,7370,981,11.8,4726,247,5,17010,1601,8.6,8135,698,7.9,8874,903,9.2
Apr-2014,145767,9079,5.9,55896,1642,2.9,22707,748,3.2,33189,894,2.6,25755,1777,6.5,33873,2079,5.8,16076,997,5.8,17797,1082,5.7,13178,1168,8.1,935,152,14,7536,821,9.8,4707,195,4,17065,1446,7.8,8184,671,7.6,8881,776,8
May-2014,146398,9443,6.1,56202,1795,3.1,23145,802,3.3,33057,993,2.9,26173,1952,6.9,33530,2254,6.3,15861,1161,6.8,17669,1093,5.8,13499,1098,7.5,1008,110,9.8,7692,797,9.4,4799,192,3.8,16994,1312,7.2,8252,630,7.1,8742,682,7.2
Jun-2014,147104,9893,6.3,55714,2001,3.5,23351,661,2.8,32363,1340,4,26542,1963,6.9,33460,2065,5.8,15543,1009,6.1,17917,1056,5.6,13764,1078,7.3,1157,79,6.4,7686,778,9.2,4921,221,4.3,17625,1299,6.9,8600,570,6.2,9025,729,7.5
Jul-2014,147265,10307,6.5,55381,2011,3.5,23490,656,2.7,31891,1355,4.1,26369,2076,7.3,33616,2168,6.1,15616,1034,6.2,18000,1135,5.9,14150,1048,6.9,1179,94,7.4,7973,691,8,4999,263,5,17749,1489,7.7,8505,714,7.7,9244,774,7.7
Aug-2014,146647,9787,6.3,55646,1930,3.4,23854,643,2.6,31792,1287,3.9,26183,2139,7.6,33045,2037,5.8,15102,900,5.6,17943,1138,6,14046,1116,7.4,1183,111,8.6,7888,752,8.7,4975,253,4.8,17727,1372,7.2,8586,623,6.8,9141,749,7.6
Sep-2014,146941,8962,5.7,56365,1617,2.8,23556,579,2.4,32809,1037,3.1,25617,2041,7.4,32979,2020,5.8,15358,872,5.4,17621,1149,6.1,13924,955,6.4,1130,132,10.5,7889,648,7.6,4905,174,3.4,18056,1252,6.5,8616,563,6.1,9440,689,6.8
Oct-2014,147936,8680,5.5,56759,1582,2.7,23365,643,2.7,33394,939,2.7,26146,2076,7.4,33259,1817,5.2,15504,847,5.2,17755,970,5.2,13867,967,6.5,1077,122,10.2,7813,650,7.7,4977,195,3.8,17906,1184,6.2,8671,554,6,9235,630,6.4
Nov-2014,147666,8630,5.5,57110,1656,2.8,23207,654,2.7,33904,1002,2.9,26131,1909,6.8,33136,1857,5.3,15656,880,5.3,17480,977,5.3,13699,1049,7.1,1017,157,13.4,7823,698,8.2,4859,194,3.8,17590,1158,6.2,8478,581,6.4,9112,577,6
Dec-2014,147190,8331,5.4,56888,1568,2.7,23191,596,2.5,33697,972,2.8,25745,1859,6.7,33455,1716,4.9,15848,831,5,17607,885,4.8,13248,1171,8.1,871,177,16.9,7466,763,9.3,4911,230,4.5,17854,1168,6.1,8669,573,6.2,9185,595,6.1
Annual 2014,146305,9617,6.2,56050,1777,3.1,23171,704,2.9,32879,1073,3.2,25854,2048,7.3,33416,2119,6,15646,1022,6.1,17771,1096,5.8,13537,1171,8,1022,134,11.6,7637,813,9.6,4879,224,4.4,17448,1385,7.4,8438,632,7,9010,754,7.7
Jan-2015,146552,9498,6.1,57367,1741,2.9,23447,721,3,33920,1020,2.9,25342,2082,7.6,33114,1941,5.5,15394,950,5.8,17721,991,5.3,13007,1433,9.9,983,212,17.7,7190,901,11.1,4834,320,6.2,17722,1379,7.2,8573,642,7,9149,737,7.5
Feb-2015,147118,9095,5.8,57596,1601,2.7,23630,674,2.8,33966,927,2.7,24802,1971,7.4,34054,1821,5.1,15838,868,5.2,18216,953,5,13258,1454,9.9,966,170,15,7323,959,11.6,4968,325,6.1,17409,1380,7.3,8481,639,7,8928,741,7.7
Mar-2015,147635,8682,5.6,57805,1398,2.4,23955,638,2.6,33850,760,2.2,25010,1782,6.6,33927,2000,5.6,15949,976,5.8,17977,1024,5.4,13437,1366,9.2,999,186,15.7,7439,922,11,5000,259,4.9,17456,1372,7.3,8631,593,6.4,8825,779,8.1
